srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
2969907,AJ,12,302006,233,233,228,B,ADLD,342015,2018-01-13,2017-11-11,2018-03-11,4407,2018-03-12,12
2906122,AN,21,110015,233,233,228,A,ADLD,201010,2017-12-28,2016-10-17,2018-02-25,4580,2018-02-27,24
2932008,C,2,110018,233,233,131,A,ADLD,110070,2018-02-27,2018-02-27,2018-03-03,4094,2018-03-07,17
2970930,AJ,2,110018,233,233,131,A,ADLD,201014,2017-06-14,2017-06-13,2018-03-12,4388,2018-03-16,10
2866366,AJ,2,110018,233,233,228,A,ADLD,122003,2017-11-01,2016-06-28,2018-02-13,4388,2018-02-14,40
2905985,AD,3,560011,233,233,131,A,ADLD,560066,2017-04-07,2017-03-16,2018-02-24,4468,2018-03-18,7
2908451,AD,2,110018,233,233,131,A,ADLD,110058,2018-01-16,2017-01-23,2018-02-26,4148,2018-03-04,23
2979013,AN,22,400104,233,233,131,B,ADLD,360001,2017-06-06,2017-06-05,2018-03-14,4581,2018-03-16,13
2920951,AN,26,560066,233,233,131,C,ADLD,626117,2017-09-12,2017-09-08,2018-02-27,5001,2018-03-19,11
2982966,C,2,110018,308,233,228,A,ADLD,122003,2017-06-05,2016-10-06,2018-03-15,4550,2018-03-17,13
2970294,AN,22,400104,233,233,131,A,ADLD,380054,2017-08-10,2017-08-08,2018-03-11,4581,2018-03-22,9
2958255,AA,24,110092,233,233,131,C,ADLD,495001,2018-02-14,2018-01-29,2018-03-09,4150,2018-03-14,20
2974060,AM,2,110018,233,233,228,C,ADLD,311001,2017-06-29,2016-07-01,2018-03-13,4092,2018-03-15,25
3022644,AJ,27,110034,233,233,131,A,ADLD,110059,2017-08-10,2017-08-10,2018-03-26,4388,2018-03-29,13
3025445,AA,21,110015,233,233,131,B,ADLD,248001,2017-04-15,2016-05-22,2018-03-27,4580,2018-03-30,19
3042051,AJ,27,110034,233,233,131,A,ADLD,110029,2017-07-13,2017-07-10,2018-03-31,4388,2018-04-06,10
2959684,C,12,302006,233,233,131,B,ADLD,342007,2016-03-25,2016-03-16,2018-03-09,4453,2018-03-13,34
3023391,AN,22,400104,233,233,228,A,ADLD,400069,2017-12-21,2017-10-17,2018-03-26,4581,2018-04-07,9
3045182,AJ,27,110034,233,233,228,A,ADLD,110029,2017-07-05,2017-07-04,2018-04-01,4388,2018-04-09,10
3030815,C,2,110018,233,233,228,B,ADLD,131001,2018-02-13,2018-02-07,2018-03-28,4091,2018-04-06,14
3027176,AD,3,560011,233,233,228,A,ADLD,560102,2018-01-22,2018-01-18,2018-03-27,5146,2018-04-07,14
3063346,Y,2,110018,233,233,131,A,ADLD,110018,2018-02-21,2018-01-22,2018-04-07,4147,2018-04-13,10
3031796,AN,21,110015,233,233,131,A,ADLD,110005,2017-04-15,2017-04-13,2018-03-28,4580,2018-04-18,9
3093081,AJ,23,400001,233,233,131,A,ADLD,401209,2017-08-22,2017-08-12,2018-04-18,4398,2018-04-19,7
3086570,AJ,25,560037,233,233,228,A,ADLD,560040,2018-01-30,2018-01-24,2018-04-15,4460,2018-04-21,7
2881002,AI,3,560011,233,245,131,A,ADLD,560051,2018-01-06,2018-01-06,2018-02-17,4460,2018-02-19,5
2906422,AN,22,400104,233,245,228,A,ADLD,380054,2018-02-08,2017-09-12,2018-02-25,4581,2018-02-27,15
2993623,AN,26,560066,308,245,131,A,ADLD,560076,2017-12-20,2017-12-20,2018-03-18,5001,2018-03-20,8
2973554,AJ,25,560037,308,245,131,A,ADLD,560035,2017-07-06,2017-07-01,2018-03-13,4460,2018-03-21,15
3011729,C,3,560011,233,245,131,A,ADLD,560021,2017-10-29,2017-10-29,2018-03-23,4461,2018-04-03,11
2878975,AJ,12,302006,201,201,228,0,ADLD,306021,2017-07-24,2017-07-21,2018-02-16,4407,2018-02-19,16
2845234,AN,2,110018,233,233,131,A,ADLD,122002,2017-02-14,2017-02-09,2018-02-06,4147,2018-02-13,13
2906032,C,2,110018,233,233,228,A,ADLD,110094,2017-06-01,2017-05-19,2018-02-24,4550,2018-03-05,17
2995253,AN,26,560066,233,233,131,A,ADLD,600036,2018-01-06,2018-01-05,2018-03-19,5001,2018-03-22,8
3051188,AN,22,400104,233,233,131,B,ADLD,452014,2017-04-17,2017-04-06,2018-04-03,4581,2018-04-05,8
3080745,AN,21,110015,233,233,131,C,ADLD,141013,2017-04-22,2017-04-19,2018-04-13,4580,2018-04-17,8
2979491,C,2,110018,233,233,131,A,ADLD,110016,2018-01-30,2018-01-24,2018-03-14,4091,2018-03-17,12
2986486,S,4,600024,233,233,228,A,ADLD,600043,2018-01-15,2017-10-31,2018-03-16,4485,2018-03-18,12
2999223,C,8,700064,233,233,131,A,ADLD,700066,2017-12-08,2017-11-15,2018-03-19,4511,2018-03-19,28
2835341,AN,17,800001,233,233,131,A,ADLD,800001,2017-11-21,2017-11-16,2018-02-03,4538,2018-02-12,8
2866007,C,5,380009,233,233,131,B,ADLD,395009,2017-08-09,2017-08-08,2018-02-13,4546,2018-02-22,13
2865948,C,10,226010,233,233,228,B,ADLD,282001,2018-01-15,2017-02-15,2018-02-13,4444,2018-02-23,18
2973305,AN,21,110015,233,245,131,A,ADLD,110062,2017-04-24,2017-04-22,2018-03-13,4580,2018-03-15,9
3033314,AJ,23,400001,233,245,131,A,ADLD,382721,2018-03-13,2017-05-27,2018-03-29,4398,2018-04-01,11
2842965,AD,2,110018,233,233,228,A,ADLD,110015,2017-07-30,2017-04-03,2018-02-06,4148,2018-02-08,14
2904113,AN,11,641012,201,233,131,A,ADLD,641020,2017-09-30,2018-03-09,2018-02-24,4495,2018-02-26,12
2999327,AE,8,700064,233,233,131,B,ADLD,743144,2018-01-08,2018-01-08,2018-03-19,4503,2018-03-23,17
3078788,AN,22,400104,233,233,131,A,ADLD,411057,2017-05-19,2017-05-17,2018-04-12,4581,2018-04-18,9
3083819,AJ,25,560037,233,233,131,A,ADLD,600085,2017-07-23,2017-07-01,2018-04-14,4482,2018-04-17,11
2970344,AJ,25,560037,308,245,131,A,ADLD,560011,2017-05-30,2017-05-30,2018-03-11,4460,2018-03-24,18
2871761,AA,1,400059,233,233,131,A,ADLD,400067,2017-09-09,2017-09-01,2018-02-14,4012,2018-02-20,9
2872795,AJ,8,700064,233,233,131,A,ADLD,700029,2017-06-28,2017-06-24,2018-02-15,4499,2018-02-17,18
2888901,AN,7,500004,233,233,131,B,ADLD,517501,2017-05-29,2017-05-26,2018-02-20,4403,2018-02-27,12
2939366,AA,3,560011,233,233,131,A,ADLD,560029,2017-09-08,2017-09-04,2018-03-05,4465,2018-03-08,12
2879036,C,12,302006,233,233,131,B,ADLD,324009,2017-05-31,2017-05-23,2018-02-16,4453,2018-03-17,16
2906645,D,1,400059,233,233,131,A,ADLD,226024,2017-10-04,2017-09-24,2018-02-25,4390,2018-02-27,15
2944398,C,4,600024,201,233,131,D,ADLD,620002,2018-01-21,2018-01-20,2018-03-06,4483,2018-03-08,19
3016926,U,3,560011,233,233,131,A,ADLD,600019,2017-06-13,2017-06-12,2018-03-25,4399,2018-03-27,13
2953599,S,4,600024,233,233,228,A,ADLD,600113,2017-06-11,2017-02-03,2018-03-08,4485,2018-03-30,10
3004580,C,3,560011,308,233,131,A,ADLD,560037,2017-03-25,2017-03-24,2018-03-21,4461,2018-03-30,10
3043981,AN,26,560066,308,233,131,A,ADLD,560043,2017-09-18,2017-09-13,2018-03-31,5001,2018-04-04,7
3039290,C,1,400059,233,233,228,A,ADLD,400057,2018-03-12,2017-01-18,2018-03-30,4545,2018-04-09,12
2819909,AN,22,400104,233,233,131,C,ADLD,403505,2017-12-22,2017-12-13,2018-01-30,4581,2018-02-02,11
2843965,AN,2,110018,233,233,131,A,ADLD,122001,2017-05-24,2018-02-20,2018-02-06,4580,2018-02-13,8
2859550,C,7,500004,233,233,228,A,ADLD,500072,2018-01-22,2017-10-10,2018-02-10,4477,2018-02-12,19
2906530,C,8,700064,233,233,131,A,ADLD,711106,2017-07-13,2017-06-30,2018-02-25,4500,2018-02-26,14
2995363,AN,21,110015,233,233,131,A,ADLD,110095,2017-05-29,2017-05-27,2018-03-19,4580,2018-03-24,6
2830192,AN,21,110015,233,233,228,C,ADLD,182101,2017-11-20,2017-09-19,2018-02-01,4580,2018-02-04,12
2830463,AJ,1,400059,233,233,131,A,ADLD,400078,2017-06-01,2017-06-01,2018-02-02,4398,2018-02-07,7
2832806,AJ,12,302006,233,233,228,B,ADLD,342008,2017-11-04,2017-10-21,2018-02-02,4407,2018-02-05,11
2832798,AJ,3,560011,233,233,131,A,ADLD,560076,2017-09-01,2016-10-31,2018-02-02,4460,2018-02-07,9
2835899,AN,7,500004,233,233,131,A,ADLD,500080,2017-12-22,2017-12-21,2018-02-03,4403,2018-02-06,10
2827234,AJ,2,110018,233,233,228,A,ADLD,110029,2017-05-19,2017-05-17,2018-02-01,4388,2018-02-05,14
2827832,AN,21,110015,233,233,131,B,ADLD,123401,2017-10-03,2017-10-01,2018-02-01,4580,2018-02-10,11
2879087,AN,11,641012,201,233,131,A,ADLD,641002,2017-05-23,2017-05-21,2018-02-16,4495,2018-02-20,4
2848615,C,12,302006,233,233,131,A,ADLD,302039,2018-01-08,2018-01-02,2018-02-07,4453,2018-02-14,13
2872645,AN,22,400104,233,233,131,B,ADLD,394305,2017-05-31,2017-05-29,2018-02-15,4581,2018-02-20,11
2867125,AB,4,600024,233,233,228,B,ADLD,603002,2017-12-15,2017-10-15,2018-02-13,4415,2018-02-18,12
2851906,AJ,8,700064,201,233,131,D,ADLD,713359,2018-02-05,2018-02-03,2018-02-08,4499,2018-02-19,14
2854798,C,6,160059,233,233,228,B,ADLD,132001,2017-10-25,2016-11-30,2018-02-09,4549,2018-02-12,21
2880194,AJ,12,302006,233,233,228,B,ADLD,324005,2017-12-22,2017-11-05,2018-02-17,4407,2018-02-20,15
2883418,AJ,8,700064,233,233,131,A,ADLD,700060,2017-07-21,2017-07-21,2018-02-18,4499,2018-02-21,16
2879358,AN,4,600024,233,233,131,A,ADLD,600096,2017-03-17,2017-03-15,2018-02-17,4490,2018-02-27,11
2858813,C,9,411016,233,233,228,B,ADLD,440030,2018-01-03,2017-09-16,2018-02-10,4548,2018-02-22,18
2875257,C,8,700064,233,233,228,C,ADLD,768004,2017-09-28,2017-08-14,2018-02-15,4500,2018-02-19,21
2900900,AN,17,800001,233,233,131,C,ADLD,831001,2017-03-16,2017-03-15,2018-02-23,4538,2018-02-24,21
2888547,AN,22,400104,233,233,131,C,ADLD,388225,2017-11-30,2017-11-25,2018-02-20,4581,2018-02-22,22
2912556,AN,21,110015,233,233,131,A,ADLD,302013,2017-06-12,2017-06-09,2018-02-27,4580,2018-03-05,10
2923710,AN,8,700064,233,233,131,B,ADLD,700119,2017-06-05,2017-06-03,2018-02-28,4508,2018-03-05,10
2897283,C,6,160059,233,233,131,B,ADLD,160009,2017-09-30,2017-09-29,2018-02-22,4549,2018-02-26,18
2938098,AJ,7,500004,233,233,228,C,ADLD,530041,2018-02-12,2017-05-04,2018-03-03,4474,2018-03-05,12
2931449,AN,21,110015,233,233,131,C,ADLD,136034,2017-08-18,2017-08-11,2018-03-03,4580,2018-03-07,12
2940107,AJ,2,110018,233,233,228,A,ADLD,110029,2017-11-07,2017-12-17,2018-03-05,4388,2018-03-08,13
2989420,AJ,2,110018,233,233,228,A,ADLD,110029,2017-11-03,2017-08-14,2018-03-16,4388,2018-03-19,9
2956636,Y,9,411016,233,233,131,A,ADLD,411027,2018-02-17,2017-10-14,2018-03-08,4581,2018-03-13,14
2969652,AD,2,110018,233,233,131,A,ADLD,201304,2017-05-29,2017-03-27,2018-03-11,4148,2018-03-20,9
2978871,AN,26,560066,233,233,228,A,ADLD,560026,2017-07-13,2017-07-13,2018-03-14,5001,2018-03-19,10
2970242,AN,8,700064,233,233,131,C,ADLD,759145,2018-01-31,2017-08-29,2018-03-11,4508,2018-03-17,14
2908636,T,1,400059,233,233,228,A,ADLD,110029,2017-10-17,2016-08-31,2018-02-26,4011,2018-03-06,24
2949114,AE,1,400059,233,233,131,B,ADLD,382305,2017-12-15,2017-12-15,2018-03-07,4015,2018-03-13,23
3002891,C,12,302006,233,233,131,A,ADLD,302018,2017-02-09,2017-02-09,2018-03-21,4453,2018-03-23,18
3055368,AI,4,600024,233,233,131,A,ADLD,600062,2018-03-26,2018-03-26,2018-04-04,4482,2018-04-06,11
3054705,AN,21,110015,233,233,131,A,ADLD,302006,2017-05-03,2017-04-27,2018-04-04,4580,2018-04-10,9
3048441,C,2,110018,233,233,131,A,ADLD,201013,2018-01-09,2018-01-06,2018-04-02,4094,2018-04-07,10
3057979,AJ,7,500004,233,233,228,A,ADLD,500012,2018-03-17,2017-12-23,2018-04-05,4474,2018-04-09,9
3039305,AN,26,560066,201,233,131,0,ADLD,670001,2017-08-28,2017-03-23,2018-03-30,5001,2018-04-05,16
3053671,C,5,380009,233,233,131,B,ADLD,390011,2017-05-08,2017-05-08,2018-04-04,4546,2018-04-11,10
3065369,AN,21,110015,233,233,131,A,ADLD,226016,2017-04-17,2017-04-14,2018-04-07,4580,2018-04-11,12
3044512,AN,22,400104,233,233,131,0,ADLD,493445,2017-07-24,2017-07-22,2018-04-01,4581,2018-04-07,18
3074595,AN,26,560066,233,233,131,A,ADLD,600021,2017-07-20,2017-07-13,2018-04-11,5001,2018-04-17,8
3079473,AI,23,400001,233,233,131,B,ADLD,390021,2017-12-27,2017-12-27,2018-04-12,4398,2018-04-17,10
3081265,AN,26,560066,308,233,131,A,ADLD,560057,2017-06-09,2017-06-03,2018-04-13,5001,2018-04-19,8
2840673,AJ,2,110018,233,245,131,A,ADLD,110003,2017-05-22,2016-07-05,2018-02-05,4388,2018-02-16,12
2844722,C,2,110018,233,245,131,A,ADLD,110020,2016-02-15,2015-11-23,2018-02-06,4091,2018-02-18,11
2865461,C,3,560011,233,245,131,A,ADLD,560038,2016-05-08,2016-04-01,2018-02-13,4461,2018-03-06,18
2982790,AJ,2,110018,233,245,131,A,ADLD,110058,2018-01-03,2017-12-30,2018-03-15,4388,2018-03-19,8
2996595,AN,21,110015,233,245,131,A,ADLD,110059,2017-07-03,2017-07-02,2018-03-19,4580,2018-03-25,8
2842608,AN,22,400104,233,233,131,A,ADLD,382481,2018-01-11,2018-01-10,2018-02-05,4581,2018-02-08,13
2852331,AE,10,226010,233,233,228,A,ADLD,226010,2017-07-12,2017-07-12,2018-02-08,4447,2018-02-12,8
2872507,S,2,110018,233,233,228,A,ADLD,122002,2017-07-15,2017-07-06,2018-02-15,4150,2018-02-19,7
2985738,AN,21,110015,233,233,131,B,ADLD,134102,2017-03-24,2017-03-22,2018-03-15,4580,2018-03-18,10
2866056,S,5,380009,233,233,228,A,ADLD,380008,2018-01-24,2016-10-23,2018-02-13,4541,2018-02-14,8
2872491,AN,7,500004,233,233,131,B,ADLD,530008,2018-01-19,2017-04-14,2018-02-15,4403,2018-02-20,13
3095741,AN,8,700064,233,233,131,A,ADLD,700156,2017-04-28,2017-01-23,2018-04-18,4508,2018-04-22,4
2829216,AJ,2,110018,233,233,131,A,ADLD,110043,2017-10-22,2017-02-04,2018-02-01,4388,2018-02-03,11
2852514,AN,21,110015,233,233,131,B,ADLD,333023,2018-01-12,2017-01-27,2018-02-08,4580,2018-02-15,18
2904391,AN,4,600024,233,233,131,B,ADLD,625020,2017-06-09,2017-06-07,2018-02-24,4490,2018-03-02,15
2926866,AN,17,800001,233,233,131,C,ADLD,831005,2016-12-29,2016-12-26,2018-03-01,4538,2018-03-07,19
3001132,AN,22,400104,233,233,131,A,ADLD,380061,2017-04-15,2017-04-12,2018-03-20,4581,2018-03-23,14
3027796,AD,2,110018,233,233,131,B,ADLD,148024,2018-01-20,2016-10-05,2018-03-27,4148,2018-03-30,10
2843103,AJ,2,110018,233,245,131,A,ADLD,110074,2017-06-21,2017-06-16,2018-02-06,4388,2018-02-17,14
3039074,AN,21,110015,233,245,131,A,ADLD,110074,2017-12-06,2017-12-04,2018-03-30,4580,2018-04-03,6
2820981,AJ,9,411016,0,233,131,B,ADLD,412207,2017-07-30,2017-07-23,2018-01-30,4021,2018-02-03,10
2879033,AN,22,400104,233,233,131,A,ADLD,401201,2017-10-27,2017-10-26,2018-02-16,4581,2018-02-21,7
2943538,AN,22,400104,308,233,228,A,ADLD,400708,2018-01-28,2017-05-01,2018-03-06,4581,2018-03-13,13
2884196,AN,7,500004,233,233,131,A,ADLD,500055,2017-07-18,2017-07-16,2018-02-19,4403,2018-02-24,11
2887821,AN,22,400104,233,233,131,A,ADLD,411026,2017-06-14,2017-06-07,2018-02-19,4581,2018-02-24,12
2892940,AJ,9,411016,233,233,131,B,ADLD,416005,2017-11-01,2017-08-15,2018-02-21,4021,2018-02-26,12
2930215,AN,8,700064,233,233,131,B,ADLD,700129,2017-12-22,2017-12-11,2018-03-01,4508,2018-03-06,9
2953725,C,2,110018,233,233,131,C,ADLD,131402,2017-08-05,2017-08-05,2018-03-08,4094,2018-03-22,18
2839252,C,2,110018,233,233,228,A,ADLD,110024,2018-01-18,2017-09-23,2018-02-05,4091,2018-02-06,11
2838361,AF,3,560011,233,233,131,A,ADLD,560029,2017-02-21,2017-02-18,2018-02-04,4467,2018-02-08,11
2892843,AN,21,110015,233,233,228,B,ADLD,342001,2018-02-04,2017-03-31,2018-02-21,4580,2018-02-24,10
2961451,AN,21,110015,233,233,131,A,ADLD,110080,2016-04-29,2016-04-01,2018-03-09,4580,2018-03-16,10
3005690,C,10,226010,233,233,131,A,ADLD,226001,2018-03-06,2018-02-25,2018-03-22,4547,2018-03-26,15
3009738,AN,26,560066,233,233,228,A,ADLD,600042,2017-08-22,2017-05-19,2018-03-23,5001,2018-04-09,8
3072245,AN,21,110015,233,233,131,A,ADLD,110084,2017-11-21,2017-08-06,2018-04-10,4580,2018-04-15,6
3039983,AN,17,800001,201,201,131,0,ADLD,829206,2017-06-29,2017-03-29,2018-03-30,4538,2018-04-03,13
3039983,AN,17,800001,201,201,131,0,ADLD,829206,2017-06-29,2017-02-10,2018-03-30,4538,2018-04-03,13
2827986,AN,3,560011,233,233,131,A,ADLD,560037,2016-11-12,2016-11-11,2018-02-01,4467,2018-02-06,11
2865589,AN,7,500004,233,233,131,A,ADLD,500068,2017-12-30,2017-12-29,2018-02-13,4403,2018-02-17,8
2872466,C,8,700064,233,233,131,A,ADLD,700014,2017-09-29,2017-09-29,2018-02-15,4500,2018-02-16,11
2859375,C,1,400059,233,233,131,A,ADLD,400086,2017-09-30,2017-09-29,2018-02-10,4545,2018-02-15,16
2898157,AJ,7,500004,233,233,228,A,ADLD,500008,2018-01-06,2017-12-22,2018-02-22,4474,2018-03-01,6
2906314,AN,4,600024,233,233,131,A,ADLD,600041,2017-12-21,2017-12-20,2018-02-25,4490,2018-02-27,9
2992663,AN,26,560066,233,233,131,A,ADLD,600083,2017-05-08,2017-05-06,2018-03-17,5001,2018-03-22,13
3017773,Y,7,500004,233,233,131,B,ADLD,522201,2017-11-26,2017-10-28,2018-03-25,4403,2018-03-30,8
3044622,AJ,27,110034,233,233,228,A,ADLD,110030,2018-03-08,2017-12-11,2018-04-01,4388,2018-04-03,10
3053826,AJ,27,110034,308,233,131,A,ADLD,110091,2017-11-10,2017-11-01,2018-04-04,4388,2018-04-06,12
2973731,C,2,110018,233,233,131,A,ADLD,122018,2017-04-14,2016-06-26,2018-03-13,4091,2018-04-04,15
2996227,AE,2,110018,233,233,228,C,ADLD,344001,2018-02-22,2017-04-23,2018-03-19,4093,2018-03-30,29
2999777,AN,22,400104,233,245,131,B,ADLD,384002,2017-04-25,2018-03-30,2018-03-20,4581,2018-03-23,11
3080079,C,3,560011,308,245,131,A,ADLD,560008,2017-11-18,2017-11-17,2018-04-12,4461,2018-04-18,9
2912999,C,12,302006,233,233,131,A,ADLD,302017,2017-09-23,2017-09-21,2018-02-27,4453,2018-03-01,14
2952105,AA,24,110092,233,233,131,A,ADLD,122001,2017-11-14,2017-11-13,2018-03-07,4150,2018-03-15,9
2949776,AN,22,400104,233,233,131,B,ADLD,390025,2017-11-01,2017-10-30,2018-03-07,4581,2018-03-16,10
2888825,AN,21,110015,233,233,131,B,ADLD,273001,2018-01-18,2017-11-28,2018-02-20,4580,2018-03-02,27
2959852,C,8,700064,233,233,131,A,ADLD,700079,2017-05-14,2017-05-14,2018-03-09,4511,2018-03-16,15
2988203,AJ,8,700064,233,233,131,B,ADLD,734014,2018-03-13,2018-03-13,2018-03-16,4499,2018-03-20,14
2975812,AN,21,110015,233,233,131,A,ADLD,122001,2017-06-05,2017-06-01,2018-03-13,4580,2018-03-24,12
3075342,AN,17,800001,233,233,131,A,ADLD,800020,2016-05-17,2016-05-01,2018-04-11,4410,2018-04-18,8
2855324,AJ,3,560011,233,233,131,A,ADLD,560021,2018-01-04,2017-12-27,2018-02-09,4460,2018-02-12,3
2837095,AJ,10,226010,201,233,131,0,ADLD,283203,2018-01-10,2017-06-11,2018-02-03,4444,2018-02-06,14
2875220,AJ,7,500004,233,233,228,B,ADLD,533003,2018-01-06,2017-10-02,2018-02-15,4474,2018-02-18,9
2856322,C,3,560011,233,233,131,A,ADLD,560045,2017-08-24,2017-01-01,2018-02-09,4461,2018-02-13,14
2860497,AN,22,400104,233,233,131,A,ADLD,400075,2017-04-04,2017-03-01,2018-02-10,4581,2018-02-19,8
2900558,AN,4,600024,233,233,131,A,ADLD,600097,2017-06-12,2017-06-10,2018-02-23,4490,2018-02-26,9
2879764,G,1,400059,233,233,131,A,ADLD,382405,2017-10-03,2017-09-30,2018-02-17,4011,2018-02-21,15
2892993,AN,3,560011,233,233,131,B,ADLD,581115,2017-10-23,2017-10-12,2018-02-21,4467,2018-02-26,11
2899568,S,7,500004,233,233,131,A,ADLD,500018,2017-10-28,2017-10-23,2018-02-23,4479,2018-02-28,9
2884830,AD,12,302006,233,233,131,A,ADLD,302016,2016-12-27,2016-12-20,2018-02-19,4408,2018-02-23,17
2889448,C,2,110018,233,233,131,A,ADLD,122015,2017-11-17,2017-11-17,2018-02-20,4550,2018-02-24,18
2922878,AN,21,110015,233,233,131,B,ADLD,151505,2016-12-28,2016-08-11,2018-02-28,4580,2018-03-05,14
2941839,AN,7,500004,233,233,131,A,ADLD,500018,2017-10-23,2017-10-18,2018-03-05,4403,2018-03-09,11
2956532,AN,22,400104,233,233,131,A,ADLD,411045,2017-06-29,2017-06-28,2018-03-08,4581,2018-03-13,8
2919392,C,8,700064,233,233,131,A,ADLD,700012,2017-12-15,2017-12-14,2018-02-27,4500,2018-03-06,17
2924783,AN,22,400104,201,233,131,D,ADLD,422608,2018-01-12,2018-01-10,2018-02-28,4581,2018-03-07,20
2941078,AI,12,302006,233,233,131,B,ADLD,342003,2017-12-08,2017-12-08,2018-03-05,4407,2018-03-09,18
2978427,AN,26,560066,233,233,131,A,ADLD,560066,2017-05-06,2017-05-06,2018-03-14,5001,2018-03-17,9
2970934,AN,22,400104,233,233,131,B,ADLD,390008,2017-05-15,2017-05-13,2018-03-12,4581,2018-03-19,11
2961697,AJ,25,560037,233,233,131,A,ADLD,600007,2017-06-07,2017-06-07,2018-03-09,4460,2018-03-14,16
2931128,AI,8,700064,233,233,131,B,ADLD,781035,2018-02-10,2018-02-10,2018-03-02,4499,2018-03-05,26
2970466,AD,3,560011,233,233,228,A,ADLD,560045,2017-06-22,2016-08-05,2018-03-11,5146,2018-03-15,20
2896138,AJ,8,700064,233,233,131,C,ADLD,769004,2017-10-10,2016-07-25,2018-02-22,4499,2018-03-07,29
2975754,Y,2,110018,233,233,228,A,ADLD,201306,2018-01-30,2018-01-30,2018-03-13,4147,2018-03-23,13
2971837,AJ,2,110018,308,233,131,A,ADLD,122016,2017-05-06,2017-05-03,2018-03-12,4388,2018-03-23,13
3002710,AN,26,560066,233,233,131,A,ADLD,560035,2017-10-06,2018-04-11,2018-03-21,5001,2018-03-23,20
2980182,AB,0,0,0,0,228,0,ADLD,533326,2017-12-24,2017-12-23,2018-03-14,4540,2018-03-27,12
3036379,AN,22,400104,233,233,131,A,ADLD,411037,2017-04-11,2017-04-07,2018-03-29,4581,2018-04-04,8
3009681,AJ,27,110034,233,233,228,A,ADLD,201304,2017-06-02,2018-03-19,2018-03-23,4388,2018-03-29,19
3050076,AN,21,110015,201,233,131,0,ADLD,323001,2017-04-21,2017-04-18,2018-04-03,4580,2018-04-05,12
3068318,AJ,25,560037,308,233,228,A,ADLD,560100,2017-08-15,2017-05-11,2018-04-09,4460,2018-04-16,10
3070125,AJ,23,400001,201,233,228,D,ADLD,388315,2017-06-15,2017-06-12,2018-04-09,4398,2018-04-17,10
3065516,AJ,6,160059,233,233,228,B,ADLD,140604,2017-10-24,2017-09-29,2018-04-08,4437,2018-04-12,14
3088085,C,2,110018,233,233,131,A,ADLD,110065,2017-11-27,2017-11-27,2018-04-16,4550,2018-04-18,10
2831177,AN,21,110015,233,245,131,A,ADLD,110058,2017-06-13,2017-06-12,2018-02-02,4580,2018-02-06,7
2943929,AN,21,110015,233,245,131,A,ADLD,110059,2017-04-22,2017-04-21,2018-03-06,4580,2018-03-10,6
2953883,C,2,110018,233,245,131,A,ADLD,110007,2017-12-28,2017-12-12,2018-03-08,4550,2018-03-12,17
2944351,AJ,23,400001,233,245,131,B,ADLD,390024,2016-10-12,2016-10-11,2018-03-06,4398,2018-03-10,25
3027270,AJ,25,560037,233,245,228,B,ADLD,580023,2018-01-16,2017-06-04,2018-03-27,4460,2018-03-30,12
